state_name,county_name,zip_code,pct_homes_negative_equity
New York,Suffolk,11950,6.85
South Carolina,Richland,29223,6.84
Kansas,Pottawatomie,66407,6.84
California,Fresno,93721,6.83
Louisiana,Saint Tammany,70452,6.82
New Jersey,Gloucester,08096,6.82
Illinois,Cook,60169,6.82
Florida,Hillsborough,33619,6.81
Illinois,Sangamon,62661,6.81
Illinois,Whiteside,61230,6.79
Florida,Sarasota,34234,6.78
Illinois,Cook,60415,6.77
Ohio,Hamilton,45211,6.77
North Dakota,Rolette,58367,6.76
Nebraska,Douglas,68007,6.76
Nebraska,Lancaster,68520,6.76
Illinois,Marion,62807,6.75
Wisconsin,Dodge,53579,6.75
Illinois,McLean,61754,6.74
Illinois,Cook,60016,6.74
Florida,Miami-Dade,33193,6.74
Arizona,Pinal,85128,6.74
Virginia,Prince William,22193,6.74
New Jersey,Camden,08107,6.74
Florida,Escambia,32534,6.74
Illinois,Cook,60173,6.73
Florida,Broward,33314,6.73
New Jersey,Gloucester,08328,6.73
Ohio,Lawrence,45688,6.73
Wisconsin,Milwaukee,53205,6.72
New Jersey,Sussex,07827,6.72
Virginia,Newport News City,23608,6.72
New Jersey,Camden,08089,6.71
Connecticut,Fairfield,06855,6.7
Pennsylvania,Allegheny,15086,6.7
Iowa,Delaware,52330,6.7
New Jersey,Burlington,08016,6.7
Arizona,Maricopa,85009,6.7
Maryland,Frederick,21716,6.7
North Dakota,Cass,58005,6.69
Florida,Lee,33974,6.69
California,Monterey,93905,6.69
Wisconsin,Lafayette,53586,6.67
Illinois,Madison,62281,6.67
Iowa,Shelby,51530,6.67
New Jersey,Cumberland,08316,6.67
Illinois,Champaign,61862,6.67
New Jersey,Cumberland,08360,6.65
Florida,Sumter,33585,6.65
Louisiana,Lafourche,70355,6.65
Massachusetts,Plymouth,02302,6.64
Connecticut,Windham,06226,6.64
Washington,Chelan,98836,6.64
Connecticut,Middlesex,06457,6.63
Mississippi,DeSoto,38637,6.63
Illinois,DeKalb,60135,6.63
California,San Diego,92113,6.63
Florida,Gadsden,32343,6.62
New Jersey,Middlesex,07077,6.62
Virginia,Hampton City,23661,6.62
North Dakota,McHenry,58710,6.61
Ohio,Wood,43529,6.61
Florida,Miami-Dade,33169,6.6
New Jersey,Gloucester,08086,6.6
New Jersey,Bergen,07644,6.6
Connecticut,Fairfield,06906,6.6
Iowa,Lyon,51241,6.59
Connecticut,Litchfield,06779,6.58
Massachusetts,Suffolk,02121,6.58
Ohio,Fulton,43540,6.58
Virginia,Fairfax,22309,6.58
North Dakota,Benson,58346,6.57
Nebraska,Seward,68360,6.57
Michigan,Genesee,48437,6.56
Wisconsin,Dodge,53035,6.56
Kentucky,Meade,40157,6.55
California,Fresno,93703,6.54
California,Placer,95681,6.54
Ohio,Putnam,45827,6.53
California,Santa Clara,94304,6.53
Virginia,Portsmouth City,23707,6.53
New Jersey,Burlington,08554,6.52
Illinois,Cook,60625,6.52
Connecticut,Windham,06331,6.51
Connecticut,Litchfield,06794,6.51
Missouri,Buchanan,64440,6.51
Illinois,Woodford,61545,6.51
California,Los Angeles,93543,6.51
Florida,Broward,33069,6.5
Iowa,Lee,52656,6.5
Illinois,Jackson,62916,6.5
California,Madera,93638,6.5
Arizona,Maricopa,85019,6.5
Iowa,Carroll,51455,6.49
Michigan,Bay,48613,6.49
California,Kern,93306,6.48
Oklahoma,Comanche,73540,6.48
Illinois,Adams,62349,6.48
Ohio,Putnam,45853,6.48
Connecticut,New Haven,06460,6.48
Tennessee,Williamson,37046,6.47
Massachusetts,Worcester,01603,6.47
Iowa,Fayette,50655,6.46
Connecticut,Windham,06241,6.46
Oklahoma,Oklahoma,73007,6.45
Maryland,Charles,20640,6.45
Illinois,Woodford,61729,6.44
New Jersey,Mercer,08520,6.44
Massachusetts,Hampden,01107,6.44
Michigan,Muskegon,49440,6.44
Iowa,Cherokee,51061,6.44
Wisconsin,Dane,53529,6.44
Louisiana,East Baton Rouge,70819,6.43
Connecticut,Windham,06235,6.43
North Dakota,Ward,58718,6.42
California,Fresno,93728,6.42
Michigan,Shiawassee,48418,6.42
New Jersey,Cumberland,08311,6.41
Connecticut,Litchfield,06785,6.41
New Jersey,Mercer,08629,6.41
Iowa,Grundy,50680,6.4
Virginia,Suffolk City,23434,6.4
Michigan,Wayne,48184,6.4
California,Contra Costa,94565,6.4
Wisconsin,Saint Croix,54082,6.4
North Dakota,Richland,58061,6.4
Maryland,Worcester,21851,6.39
New Jersey,Burlington,08068,6.39
New York,Kings,11206,6.38
Maryland,Allegany,21542,6.38
Maryland,Howard,20763,6.37
New Jersey,Atlantic,08326,6.37
Ohio,Summit,44320,6.36
Delaware,Sussex,19960,6.36
California,San Joaquin,95205,6.35
Connecticut,Windham,06282,6.35
Iowa,Dubuque,52046,6.35
North Dakota,Richland,58018,6.35
Iowa,Iowa,52251,6.35
Iowa,Fayette,52147,6.35
California,San Diego,91934,6.33
Massachusetts,Worcester,01420,6.33
Ohio,Hamilton,45227,6.33
California,Fresno,93650,6.33
Ohio,Lorain,44050,6.33
Illinois,Grundy,60447,6.33
New Jersey,Camden,08033,6.32
Iowa,Jones,52362,6.32
Illinois,Cook,60438,6.32
Connecticut,Tolland,06076,6.31
California,Calaveras,95225,6.31
Massachusetts,Essex,01901,6.31
Ohio,Hamilton,45111,6.31
Iowa,Mitchell,50460,6.31
Maryland,Baltimore City,21239,6.3
Illinois,Cook,60445,6.3
California,Los Angeles,93534,6.3
Massachusetts,Hampden,01151,6.3
New York,Putnam,10509,6.3
Nebraska,Saunders,68003,6.28
Florida,Miami-Dade,33128,6.28
Louisiana,Saint Tammany,70471,6.28
Wisconsin,Jefferson,53137,6.27
Ohio,Ottawa,43432,6.27
Florida,Palm Beach,33404,6.27
Michigan,Ingham,48819,6.27
Iowa,Obrien,51248,6.27
Louisiana,Tangipahoa,70466,6.27
Florida,Hillsborough,33637,6.27
Connecticut,Hartford,06062,6.26
Wisconsin,Milwaukee,53210,6.26
Virginia,Spotsylvania,22534,6.26
California,Los Angeles,93535,6.26
New Jersey,Morris,07828,6.25
North Dakota,Cass,58021,6.25
Iowa,Webster,50532,6.25
Maryland,Cecil,21913,6.25
Arizona,Maricopa,85201,6.25
Connecticut,Hartford,06085,6.25
Florida,Palm Beach,33461,6.24
Connecticut,Litchfield,06783,6.24
Louisiana,Jefferson,70001,6.24
Illinois,McLean,61728,6.24
Florida,Orange,32810,6.24
California,Kern,93516,6.24
New Jersey,Camden,08012,6.23
New York,Queens,11412,6.23
Illinois,Montgomery,62032,6.22
Montana,Lake,59855,6.22
Missouri,Saint Louis City,63120,6.22
Connecticut,Hartford,06010,6.22
Florida,Volusia,32117,6.21
Louisiana,Jefferson,70005,6.21
Virginia,Suffolk City,23437,6.21
Georgia,Fulton,30315,6.2
Kansas,Sedgwick,67227,6.2
New Jersey,Camden,08110,6.2
Maryland,Baltimore City,21213,6.19
Arizona,Maricopa,85006,6.19
Massachusetts,Suffolk,02119,6.19
California,San Diego,91906,6.19
Pennsylvania,Mercer,16130,6.18
New York,Suffolk,11772,6.18
Iowa,Keokuk,52563,6.18
Ohio,Cuyahoga,44105,6.18
Ohio,Cuyahoga,44109,6.17
Maryland,Baltimore City,21226,6.17
Arizona,Pima,85653,6.17
Connecticut,Litchfield,06787,6.17
Florida,Palm Beach,33405,6.17
Louisiana,Saint Tammany,70460,6.16
New York,Suffolk,11967,6.16
New York,Putnam,10512,6.16
Florida,Palm Beach,33407,6.16
California,San Luis Obispo,93461,6.16
Louisiana,East Baton Rouge,70808,6.16
New York,Queens,11434,6.15
Iowa,Plymouth,51050,6.15
California,Fresno,93725,6.15
